Source,Destination,Latency
Buenos Aires,Cairo,295.311
Buenos Aires,Dhaka,425.37
Buenos Aires,Houston,176.944
Buenos Aires,Istanbul,291.598
Buenos Aires,Jakarta,426.953
Buenos Aires,Johannesburg,410.443
Buenos Aires,London,231.805
Buenos Aires,Los Angeles,209.319
Buenos Aires,Mexico City,215.309
Buenos Aires,Moscow,284.691
Buenos Aires,New Delhi,424.82
Buenos Aires,New York,167.267
Buenos Aires,Reykjavik,277.106
Buenos Aires,Sao Paulo,156.023
Buenos Aires,Seoul,339.473
Buenos Aires,Shanghai,451.141
Buenos Aires,Sydney,380.525
Buenos Aires,Tokyo,333.178
Cairo,Buenos Aires,295.452
Cairo,Dhaka,252.517
Cairo,Houston,158.034
Cairo,Istanbul,89.397
Cairo,Jakarta,214.3
Cairo,Johannesburg,208.946
Cairo,London,62.621
Cairo,Los Angeles,192.512
Cairo,Mexico City,199.319
Cairo,Moscow,93.56
Cairo,New Delhi,235.174
Cairo,New York,126.017
Cairo,Reykjavik,92.721
Cairo,Sao Paulo,244.305
Cairo,Seoul,289.141
Cairo,Shanghai,335.602
Cairo,Sydney,282.676
Cairo,Tokyo,288.099
Dhaka,Buenos Aires,425.462
Dhaka,Cairo,252.333
Dhaka,Houston,258.44
Dhaka,Istanbul,205.939
Dhaka,Jakarta,65.758
Dhaka,Johannesburg,260.827
Dhaka,London,231.707
Dhaka,Los Angeles,227.902
Dhaka,Mexico City,285.719
Dhaka,Moscow,246.132
Dhaka,New Delhi,222.043
Dhaka,New York,256.924
Dhaka,Reykjavik,312.065
Dhaka,Sao Paulo,371.108
Dhaka,Seoul,173.411
Dhaka,Shanghai,188.448
Dhaka,Sydney,148.906
Dhaka,Tokyo,116.215
Houston,Buenos Aires,177.262
Houston,Cairo,157.888
Houston,Dhaka,257.954
Houston,Istanbul,171.712
Houston,Jakarta,246.624
Houston,Johannesburg,271.101
Houston,London,108.37
Houston,Los Angeles,35.85
Houston,Mexico City,29.98
Houston,Moscow,153.477
Houston,New Delhi,260.314
Houston,New York,39.523
Houston,Reykjavik,151.532
Houston,Sao Paulo,131.874
Houston,Seoul,169.553
Houston,Shanghai,290.65
Houston,Sydney,211.122
Houston,Tokyo,150.433
Istanbul,Buenos Aires,291.714
Istanbul,Cairo,89.333
Istanbul,Dhaka,205.315
Istanbul,Houston,170.904
Istanbul,Jakarta,318.481
Istanbul,Johannesburg,229.88
Istanbul,London,53.524
Istanbul,Los Angeles,197.564
Istanbul,Mexico City,197.728
Istanbul,Moscow,80.695
Istanbul,New Delhi,259.329
Istanbul,New York,131.149
Istanbul,Reykjavik,88.587
Istanbul,Sao Paulo,230.138
Istanbul,Seoul,318.153
Istanbul,Shanghai,351.06
Istanbul,Sydney,328.158
Istanbul,Tokyo,295.342
Jakarta,Buenos Aires,427.087
Jakarta,Cairo,215.727
Jakarta,Dhaka,72.982
Jakarta,Houston,246.814
Jakarta,Istanbul,318.528
Jakarta,Johannesburg,280.155
Jakarta,London,191.654
Jakarta,Los Angeles,202.507
Jakarta,Mexico City,272.473
Jakarta,Moscow,212.675
Jakarta,New Delhi,122.732
Jakarta,New York,274.028
Jakarta,Reykjavik,387.959
Jakarta,Sao Paulo,363.211
Jakarta,Seoul,205.745
Jakarta,Shanghai,138.728
Jakarta,Sydney,105.652
Jakarta,Tokyo,78.505
Johannesburg,Buenos Aires,410.502
Johannesburg,Cairo,209.016
Johannesburg,Dhaka,260.941
Johannesburg,Houston,271.169
Johannesburg,Istanbul,227.723
Johannesburg,Jakarta,280.12
Johannesburg,London,164.154
Johannesburg,Los Angeles,303.183
Johannesburg,Mexico City,305.521
Johannesburg,Moscow,222.09
Johannesburg,New Delhi,320.33
Johannesburg,New York,230.649
Johannesburg,Reykjavik,207.041
Johannesburg,Sao Paulo,345.947
Johannesburg,Seoul,398.905
Johannesburg,Shanghai,237.564
Johannesburg,Sydney,444.012
Johannesburg,Tokyo,393.9
London,Buenos Aires,231.305
London,Cairo,62.574
London,Dhaka,229.174
London,Houston,109.193
London,Istanbul,53.779
London,Jakarta,191.236
London,Johannesburg,164.234
London,Los Angeles,129.823
London,Mexico City,133.462
London,Moscow,45.428
London,New Delhi,148.245
London,New York,71.073
London,Reykjavik,38.231
London,Sao Paulo,179.305
London,Seoul,270.324
London,Shanghai,242.428
London,Sydney,271.331
London,Tokyo,217.406
Los Angeles,Buenos Aires,209.417
Los Angeles,Cairo,192.758
Los Angeles,Dhaka,227.683
Los Angeles,Houston,35.892
Los Angeles,Istanbul,197.756
Los Angeles,Jakarta,202.485
Los Angeles,Johannesburg,303.095
Los Angeles,London,129.907
Los Angeles,Mexico City,51.736
Los Angeles,Moscow,178.578
Los Angeles,New Delhi,265.5
Los Angeles,New York,68.402
Los Angeles,Reykjavik,183.831
Los Angeles,Sao Paulo,165.077
Los Angeles,Seoul,134.984
Los Angeles,Shanghai,216.538
Los Angeles,Sydney,175.851
Los Angeles,Tokyo,127.681
Mexico City,Buenos Aires,215.417
Mexico City,Cairo,199.361
Mexico City,Dhaka,285.667
Mexico City,Houston,29.968
Mexico City,Istanbul,192.823
Mexico City,Jakarta,272.469
Mexico City,Johannesburg,305.471
Mexico City,London,133.599
Mexico City,Los Angeles,51.782
Mexico City,Moscow,180.575
