	Buenos Aires	Cairo	Dhaka	Houston	Istanbul	Jakarta	Johannesburg	London	Los Angeles	Mexico City	Moscow	New Delhi	New York	Reykjavik	Sao Paulo	Seoul	Shanghai	Sydney	Tokyo	Zagreb
Buenos Aires	—	295.311ms	425.37ms	176.944ms	291.598ms	426.953ms	410.443ms	231.805ms	209.319ms	215.309ms	284.691ms	424.82ms	167.267ms	277.106ms	156.023ms	339.473ms	451.141ms	380.525ms	333.178ms	260.469ms
Cairo	295.452ms	—	252.517ms	158.034ms	89.397ms	214.3ms	208.946ms	62.621ms	192.512ms	199.319ms	93.56ms	235.174ms	126.017ms	92.721ms	244.305ms	289.141ms	335.602ms	282.676ms	288.099ms	70.672ms
Dhaka	425.462ms	252.333ms	—	258.44ms	205.939ms	65.758ms	260.827ms	231.707ms	227.902ms	285.719ms	246.132ms	222.043ms	256.924ms	312.065ms	371.108ms	173.411ms	188.448ms	148.906ms	116.215ms	210.383ms
Houston	177.262ms	157.888ms	257.954ms	—	171.712ms	246.624ms	271.101ms	108.37ms	35.85ms	29.98ms	153.477ms	260.314ms	39.523ms	151.532ms	131.874ms	169.553ms	290.65ms	211.122ms	150.433ms	132.658ms
Istanbul	291.714ms	89.333ms	205.315ms	170.904ms	—	318.481ms	229.88ms	53.524ms	197.564ms	197.728ms	80.695ms	259.329ms	131.149ms	88.587ms	230.138ms	318.153ms	351.06ms	328.158ms	295.342ms	37.61ms
Jakarta	427.087ms	215.727ms	72.982ms	246.814ms	318.528ms	—	280.155ms	191.654ms	202.507ms	272.473ms	212.675ms	122.732ms	274.028ms	387.959ms	363.211ms	205.745ms	138.728ms	105.652ms	78.505ms	182.902ms
Johannesburg	410.502ms	209.016ms	260.941ms	271.169ms	227.723ms	280.12ms	—	164.154ms	303.183ms	305.521ms	222.09ms	320.33ms	230.649ms	207.041ms	345.947ms	398.905ms	237.564ms	444.012ms	393.9ms	186.031ms
London	231.305ms	62.574ms	229.174ms	109.193ms	53.779ms	191.236ms	164.234ms	—	129.823ms	133.462ms	45.428ms	148.245ms	71.073ms	38.231ms	179.305ms	270.324ms	242.428ms	271.331ms	217.406ms	33.864ms
Los Angeles	209.417ms	192.758ms	227.683ms	35.892ms	197.756ms	202.485ms	303.095ms	129.907ms	—	51.736ms	178.578ms	265.5ms	68.402ms	183.831ms	165.077ms	134.984ms	216.538ms	175.851ms	127.681ms	158.927ms
Mexico City	215.417ms	199.361ms	285.667ms	29.968ms	192.823ms	272.469ms	305.471ms	133.599ms	51.782ms	—	180.575ms	294.467ms	69.541ms	176.984ms	170.586ms	181.399ms	325.368ms	198.826ms	157.447ms	161.301ms
Moscow	284.776ms	93.702ms	245.418ms	153.49ms	80.774ms	212.645ms	221.847ms	45.426ms	178.606ms	180.545ms	—	196.059ms	117.86ms	87.351ms	233.748ms	307.308ms	140.088ms	276.557ms	194.394ms	55.461ms
New Delhi	452.657ms	255.606ms	218.617ms	260.559ms	260.81ms	122.902ms	320.259ms	148.397ms	265.506ms	294.481ms	196.049ms	—	224.617ms	185.271ms	339.513ms	380.819ms	244.872ms	294.961ms	257.148ms	168.732ms
New York	166.159ms	125.731ms	257.425ms	39.533ms	131.282ms	273.865ms	230.553ms	70.569ms	68.353ms	69.507ms	117.783ms	224.663ms	—	120.392ms	138.743ms	187.073ms	261.884ms	201.547ms	175.97ms	102.433ms
Reykjavik	277.719ms	92.898ms	311.89ms	151.355ms	88.726ms	388.015ms	206.967ms	38.38ms	184.008ms	176.619ms	87.361ms	185.4ms	120.456ms	—	227.064ms	317.297ms	309.917ms	312.723ms	262.154ms	79.864ms
Sao Paulo	155.807ms	244.05ms	370.981ms	131.832ms	230.183ms	363.516ms	346.654ms	179.131ms	165.153ms	170.427ms	234.017ms	339.361ms	138.857ms	227.163ms	—	322.07ms	393.792ms	387.722ms	274.745ms	208.828ms
Seoul	339.22ms	289.525ms	143.998ms	169.551ms	318.343ms	205.615ms	398.779ms	269.922ms	134.997ms	181.262ms	307.314ms	380.9ms	226.611ms	317.339ms	322.087ms	—	198.747ms	290.333ms	53.227ms	282.004ms
Shanghai	394.23ms	333.464ms	177.135ms	309.876ms	279.023ms	258.658ms	230.689ms	214.823ms	218.403ms	279.83ms	139.992ms	237.3ms	251.175ms	287.156ms	323.734ms	166.965ms	—	313.558ms	48.289ms	324.551ms
Sydney	342.621ms	282.691ms	148.15ms	211.169ms	328.322ms	105.731ms	441.208ms	271.452ms	175.855ms	203.858ms	276.532ms	295.398ms	239.519ms	312.752ms	387.401ms	290.36ms	368.18ms	-	114.245ms	272.021ms
Tokyo	333.018ms	288.046ms	116.184ms	149.819ms	295.565ms	78.554ms	393.869ms	217.651ms	127.753ms	157.544ms	194.583ms	257.15ms	176.1ms	262.151ms	273.435ms	57.966ms	105.419ms	114.254ms	—	224.939ms
Zagreb	263.423ms	69.081ms	210.053ms	132.519ms	38.371ms	182.927ms	186.005ms	33.989ms	158.925ms	160.807ms	55.473ms	168.75ms	102.532ms	79.865ms	208.144ms	281.93ms	387.292ms	271.984ms	225.01ms	—
